,from_id,from_name,message,created_time,type,link,id,story,likes_count,comments_count,shares_count
1,1.39E+14,IIT Gandhinagar,"Campus Feature: Zero Discharge Campus

There are no outgoing lines of sewage from the Campus to the Municipality, making the campus a zero-discharge campus. All waste water and sewage generated on campus are processed on campus and a large portion of it is used on campus as recycled water.",2017-03-27T13:30:25+0000,photo,https://www.facebook.com/iitgn.official/photos/a.340943985972946.80216.139092996158047/1368014976599170/?type=3,139092996158047_1368014976599170,NA,56,1,3
2,1.39E+14,IIT Gandhinagar,"IIT Gandhinagar Central Library suggests Book of the Week: ""Life of Pi"" by Yann Martel. http://ow.ly/3u9K30aaWBG 
#IITGNCentralLibrary #IITGNBookoftheWeek",2017-03-25T13:30:28+0000,link,http://ow.ly/3u9K30aaWBG,139092996158047_1365471710186830,NA,24,1,0
3,1.39E+14,IIT Gandhinagar,"Snapshots from the talk by Commodore Odakkal Johnson on 'India's Naval contribution during WW I& II'  held at IIT Gandhinagar, March 22, 2017.",2017-03-23T15:30:00+0000,photo,https://www.facebook.com/iitgn.official/photos/a.340943985972946.80216.139092996158047/1363071663760168/?type=3,139092996158047_1363072483760086,IIT Gandhinagar added 4 new photos.,102,0,1
4,1.39E+14,IIT Gandhinagar,"IIT Gandhinagar hosted a delegation of 15 senior members comprising Provosts, and International officers from institutions across the United States, and senior USIEF Fulbright representatives this morning at the campus. The visit was scheduled as a part of the 2017-2018 Fulbright-Nehru International Education Administrators Seminar. There were a series of presentations and discussions on various aspects of academics, infrastructure and research on IITGN campus. The delegation met and interacted with a group of students and faculty members to understand life at IIT Gandhinagar. EducationUSA Delhi The Fulbright Program EducationUSA Mumbai #FulbrightFellowship",2017-03-23T13:30:00+0000,photo,https://www.facebook.com/iitgn.official/photos/a.340943985972946.80216.139092996158047/1363123170421684/?type=3,139092996158047_1363130937087574,IIT Gandhinagar added 4 new photos.,98,0,2
5,1.39E+14,IIT Gandhinagar,"Wednesday Video: http://ow.ly/sycC30a8VYR 

Watch Dr. Raghunath Anant Mashelkar, Padma Vibhushan, Former Director General CSIR, the Founder Chairman of Board of Governor of IIT Gandhinagar, delivering the prestigious Nani Palkhivala Lecture  on the topic ""From Incremental to Disruptive Innovation: The Vision and Strategy"" on 17th September 2016.",2017-03-22T13:30:17+0000,video,http://ow.ly/sycC30a8VYR,139092996158047_1361994257201242,NA,39,2,1
6,1.39E+14,IIT Gandhinagar,"IIT Gandhinagar hosted an event on March 21, 2017 entitled 'The Songs of Protest' by Lokshair Sambhaji Bhagat, whose artistic expression has characterized issues of social justice pertaining to class and caste in contemporary India. Sambhaji Bhagat performed his famous songs with his troupe and gave a glimpse of the connection between art and truth through his storytelling.
Presenting some snapshots from the event. 

Pictures Courtesy: Gaurav Shukla",2017-03-22T11:30:00+0000,photo,https://www.facebook.com/iitgn.official/photos/a.340943985972946.80216.139092996158047/1361837937216874/?type=3,139092996158047_1361841893883145,IIT Gandhinagar added 4 new photos.,75,0,2
7,1.39E+14,IIT Gandhinagar,"IIT Gandhinagar family congratulates Professor Dinesh Garg for receiving a grant from the Science and Engineering Research Board (SERB)  for the project entitled, ""Non-convex Optimization Techniques for Large Scale Machine Learning Problems"".",2017-03-21T15:45:09+0000,status,NA,139092996158047_1361020043965330,NA,26,0,2
8,1.39E+14,IIT Gandhinagar,IIT Gandhinagar family congratulates Professor Naran Pindoria for being awarded IEEE Power & Energy Society (PES) Gujarat chapter Outstanding Engineer award (with experience less than 15 years) in recognition for his contributions to research in power systems and smart distribution grid.,2017-03-21T15:30:09+0000,status,NA,139092996158047_1361010740632927,NA,96,0,1
9,1.39E+14,IIT Gandhinagar,"Commodore Odakkal Johnson, a Maritime Professional for over 34 years and the Curator at Maritime History Society, Mumbai, will be visiting IIT Gandhinagar on March 22, 2017 to deliver a talk on 'India's Naval Contribution during WW I & II'
Venue: AB 1/001
Time: 4:00 PM
IIT Gandhinagar Contact: Col Sarvjeet Kapoor
#iitgntalks #iitgn",2017-03-21T13:30:25+0000,photo,https://www.facebook.com/iitgn.official/photos/a.340943985972946.80216.139092996158047/1360920847308583/?type=3,139092996158047_1360920847308583,NA,28,0,6
10,1.39E+14,IIT Gandhinagar,"Campus Feature: Fibre Optic Backbone

The entire campus IT services and ELV services are built upon a fibre-optic cable system referred to as the fibre-optic backbone. The fibre-optic backbone not only ensures blazing fast internet access, but also serves as a single network onto which all other services such as IP Telephony, CCTV and Security System, Fire Alarm System, Access Control System, a state-of- art Building Management System can plug into. The fibre-optic backbone thus forms the foundation of a Smart Campus and future IT services can plug into the same framework.",2017-03-20T13:30:28+0000,photo,https://www.facebook.com/iitgn.official/photos/a.340943985972946.80216.139092996158047/1359845370749464/?type=3,139092996158047_1359845370749464,NA,54,0,3
11,1.39E+14,IIT Gandhinagar,"Professor Andrew Whittaker from University at Buffalo (UB) is visiting IIT Gandhinagar on Wednesday, March 22, 2017. He will be delivering talks according to the schedule below.
Title: Seismic behavior of SC wall piers under in-plane and out-of-plane loadings
Time: 2:00 - 3:00 PM
Venue: AB 7/201

He will also hold a session on graduate studies at UB following the technical presentation per the schedule mentioned.
Title: Graduate studies in engineering at UB
Date: March 22 (Wednesday)
Time: 3:00 PM
Venue: AB 7/201",2017-03-17T08:30:11+0000,status,NA,139092996158047_1355811151152886,NA,32,0,1
