"IIT Gandhinagar Central Library suggests 'Book of the Week' every week. This week's suggestion: ""Einstein's greatest mistake: a biography"" by  David Bodanis. Publication Date: 29th September 2016. #IITGNCentralLibrary #IITGNBookoftheWeek
http://ow.ly/wEMC309M6gT",19,"Campus Feature: Zero Discharge Campus

There are no outgoing lines of sewage from the Campus to the Municipality, making the campus a zero-discharge campus. All waste water and sewage generated on campus are processed on campus and a large portion of it is used on campus as recycled water.",56,"Snapshots from the talk by Commodore Odakkal Johnson on 'India's Naval contribution during WW I& II'  held at IIT Gandhinagar, March 22, 2017.",102,"Talk Title: ""Compact Modeling of Bipolar Devices""
Speaker: Professor Anjan Chakravorty
Date - 10/5/2016 (Tuesday)
Time - 10AM
Venue - AB7/101
Abstract: In this talk Prof. Chakravorty will discuss the basics of compact modeling for simple devices such as p-n junction diode and bipolar transistor. Starting from the model equations, he will explain how a semiconductor device structure is translated into an equivalent circuit in order to facilitate the circuit design activities. He will also talk about parameter extraction and model implementation in Verilog-A for both the devices. At the end, he will cover compact modeling of modern bipolar transistors.
IIT Gandhinagar Contact: Professor Nihar Ranjan Mohapatra",0
,,,,,,,
"Talk Title: The Changing Position of the Researcher and Research Participants: Implications for the Ethics of Fieldwork
Speaker: Dr Jyothsna Latha Belliappa
Date: March 15, 2017
Time: 4PM - 5:30PM
Venue: AB 7/202
 IIT Gandhinagar Contact: Professor Madhumita Sengupta
#iitgntalks",13,"IIT Gandhinagar Central Library suggests Book of the Week: ""Life of Pi"" by Yann Martel. http://ow.ly/3u9K30aaWBG 
#IITGNCentralLibrary #IITGNBookoftheWeek",24,"IIT Gandhinagar hosted a delegation of 15 senior members comprising Provosts, and International officers from institutions across the United States, and senior USIEF Fulbright representatives this morning at the campus. The visit was scheduled as a part of the 2017-2018 Fulbright-Nehru International Education Administrators Seminar. There were a series of presentations and discussions on various aspects of academics, infrastructure and research on IITGN campus. The delegation met and interacted with a group of students and faculty members to understand life at IIT Gandhinagar. EducationUSA Delhi The Fulbright Program EducationUSA Mumbai #FulbrightFellowship",98,"You are invited to a  Humanities and Social Sciences talk by Caio Simoes de Araujo
Title: ""Hotel Mandovi: diplomatic revolutions and the making of Goan decolonization, 1950-1963""
Date: 29th January 2016
Venue: Block 7, Room 202
Time: 5.30PM
Join us at Palaj campus for this exciting talk!
IITGN Contact: Dr. Pedro Pombo",3
,,,,,,,
"Talk Title: Quantum Chaos and Stochastic Webs in a quantum-mechanical kick system
Speaker: Dr. Martin Engel, SAP SE, Germany
Date: March 8, 2017
Time: 3:30PM - 4:30PM
Venue: AB 7/102
 IIT Gandhinagar Contact: Professor Vinod Chandra
#iitgntalks",8,"Wednesday Video: http://ow.ly/sycC30a8VYR 

Watch Dr. Raghunath Anant Mashelkar, Padma Vibhushan, Former Director General CSIR, the Founder Chairman of Board of Governor of IIT Gandhinagar, delivering the prestigious Nani Palkhivala Lecture  on the topic ""From Incremental to Disruptive Innovation: The Vision and Strategy"" on 17th September 2016.",39,IIT Gandhinagar family congratulates Professor Naran Pindoria for being awarded IEEE Power & Energy Society (PES) Gujarat chapter Outstanding Engineer award (with experience less than 15 years) in recognition for his contributions to research in power systems and smart distribution grid.,96,"First Indira Foundation Distinguished Lecture by Professor Jonathan Mark Kenoyer on ""Scientific and Technological Contribution of Indus Civilization: Their Relevance for the Present"".
Public Lecture.
Date: Tuesday, 12th January 2016
Time: 5 - 6 PM
Venue: Auditorium (1/002), Palaj Campus
IITGN Contact: Professor V.N. Prabhakar",3
,,,,,,,
"Talk Title: Spacecraft attitude control and the fiber bundle structure of the gimbal-spacecraft system
Speaker: Arjun Narayanan, Scientist, ISRO, VSSC, Thiruvananthapuram
Date: March 7, 2017
Time: 5PM - 6PM
Venue: AB 7/208
IIT Gandhinagar Contact: Professor Ravi Banavar
#iitgntalks",16,"IIT Gandhinagar hosted an event on March 21, 2017 entitled 'The Songs of Protest' by Lokshair Sambhaji Bhagat, whose artistic expression has characterized issues of social justice pertaining to class and caste in contemporary India. Sambhaji Bhagat performed his famous songs with his troupe and gave a glimpse of the connection between art and truth through his storytelling.
Presenting some snapshots from the event. 

Pictures Courtesy: Gaurav Shukla",75,"Throwback Thursday
Holi celebrations during the early years of IIT Gandhinagar in the temporary campus at Chandkheda. The students in the picture are from 2008-09 batch. Picture Courtesy: Gaurav Shukla 
 Alumni Relations, IIT Gandhinagar IIT Gandhinagar Student Life 
 #ThrowbackThursday #TBT",118,"Prof. Ram Murty from Queen's University (Kingston Canada) will be delivering a talk on 'Ramanujan expansions and twin primes'.
Date: January 1, 2016 (Friday)
Time: 4 pm -5 pm
Venue: Block 7, Room 203, Palaj campus
IITGN Contact: Professor Atul Dixit
Email: <adixit@iitgn.ac.in>",3
,,,,,,,
nan,15,"IIT Gandhinagar family congratulates Professor Dinesh Garg for receiving a grant from the Science and Engineering Research Board (SERB)  for the project entitled, ""Non-convex Optimization Techniques for Large Scale Machine Learning Problems"".",26,"IITGN participated in the Campus Bird Count on 18th Feb 2017. Staff, faculty and their families participated with enthusiasm. Mr. Sivakumar and Mr. Ramjee Nagarajan  Centre for Environment Education and Sundarvan Nature Discovery Centre) helped identify and count the birds.",88,"IIT Gandhinagar celebrated 26th November 2015 as Constitution Day, as per the announcement by the Government of India. The event was held at A-Block Auditorium, IITGN, VGEC campus. The chief speakers on this occasion were Professor Sudhir K Jain, Director IIT Gandhinagar, and Professor Mona Mehta, Political Scientist at IIT Gandhinagar. They discussed the significance of Indian Constitution and highlighted the excellence and insight of the draft prepared by the drafting committee of the Indian Constitution. The emphasis was on the beauty of unity in diversity that the Constitution and its Preamble stand for. Pictures Courtesy: Gaurav Shukla",0
,,,,,,,
